order_id,supplier_id,distance_km,transport_mode,order_quantity,warehouse_load,season,delay_history,lead_time_days,Warehouse Load %,Delay %,Warehouse Status,Delay Risk,Lead Time Category,Distance Category
1,S13,1143,Air,1160,0.95,Peak,0.14,67,95,14,Critical,Low Risk,Very Long,Medium Distance
2,S27,651,Truck,2036,0.2,Normal,0.6,22,20,60,Normal,High Risk,Medium,Short Distance
3,S20,46,Air,2486,0.55,Monsoon,0.14,10,55,14,Normal,Low Risk,Short,Short Distance
4,S33,532,Ship,3341,0.62,Normal,0.45,16,62,45,High,High Risk,Medium,Short Distance
5,S32,1349,Ship,1868,0.79,Monsoon,0.5,28,79,50,High,High Risk,Medium,Medium Distance
6,S48,1799,Train,2751,0.43,Normal,0.48,37,43,48,Normal,High Risk,Long,Long Distance
7,S6,443,Air,4897,0.75,Monsoon,0.31,37,75,31,High,Medium Risk,Long,Short Distance
8,S14,275,Truck,953,0.85,Monsoon,0.33,19,85,33,Critical,Medium Risk,Medium,Short Distance
9,S3,1770,Air,2739,0.65,Normal,0.03,93,65,3,High,Low Risk,Very Long,Long Distance
10,S35,143,Ship,3209,0.83,Peak,0.1,12,83,10,Critical,Low Risk,Short,Short Distance
11,S38,1571,Truck,4277,0.19,Peak,0.49,41,19,49,Normal,High Risk,Long,Long Distance
12,S50,1019,Ship,1174,0.15,Peak,0.07,15,15,7,Normal,Low Risk,Medium,Medium Distance
13,S3,716,Train,624,0.22,Peak,0.47,20,22,47,Normal,High Risk,Medium,Short Distance
14,S34,14,Air,2245,0.82,Peak,0.17,10,82,17,Critical,Low Risk,Short,Short Distance
15,S35,319,Truck,2704,0.78,Monsoon,0.54,19,78,54,High,High Risk,Medium,Short Distance
16,S25,1719,Train,4324,0.61,Normal,0.14,31,61,14,High,Low Risk,Long,Long Distance
17,S30,95,Ship,3465,0.37,Normal,0.51,9,37,51,Normal,High Risk,Short,Short Distance
18,S21,1523,Ship,3263,0.44,Peak,0.03,23,44,3,Normal,Low Risk,Medium,Long Distance
