order_id,supplier_id,distance_km,transport_mode,order_quantity,warehouse_load,season,delay_history,lead_time_days
1,S13,1143,Air,1160,0.95,Peak,0.14,67
2,S27,651,Truck,2036,0.2,Normal,0.6,22
3,S20,46,Air,2486,0.55,Monsoon,0.14,10
4,S33,532,Ship,3341,0.62,Normal,0.45,16
5,S32,1349,Ship,1868,0.79,Monsoon,0.5,28
6,S48,1799,Train,2751,0.43,Normal,0.48,37
7,S6,443,Air,4897,0.75,Monsoon,0.31,37
8,S14,275,Truck,953,0.85,Monsoon,0.33,19
9,S3,1770,Air,2739,0.65,Normal,0.03,93
10,S35,143,Ship,3209,0.83,Peak,0.1,12
11,S38,1571,Truck,4277,0.19,Peak,0.49,41
12,S50,1019,Ship,1174,0.15,Peak,0.07,15
13,S3,716,Train,624,0.22,Peak,0.47,20
14,S34,14,Air,2245,0.82,Peak,0.17,10
15,S35,319,Truck,2704,0.78,Monsoon,0.54,19
16,S25,1719,Train,4324,0.61,Normal,0.14,31
17,S30,95,Ship,3465,0.37,Normal,0.51,9
18,S21,1523,Ship,3263,0.44,Peak,0.03,23
19,S7,45,Ship,3919,0.34,Normal,0.05,5
20,S46,1226,Ship,365,0.32,Monsoon,0.02,18
21,S27,1006,Air,1227,0.88,Normal,0.17,59
22,S19,348,Truck,2222,0.87,Peak,0.04,17
23,S28,1450,Air,4247,0.18,Monsoon,0.01,80
24,S5,1995,Air,2502,0.7,Peak,0.08,108
25,S34,692,Air,179,0.99,Normal,0.42,45
26,S48,876,Air,3471,0.66,Peak,0.59,58
27,S9,738,Truck,3425,0.24,Peak,0.55,27
28,S5,1745,Air,692,0.18,Peak,0.27,95
29,S6,1485,Ship,954,0.14,Peak,0.37,25
30,S49,1805,Ship,3366,0.7,Normal,0.59,30
31,S35,163,Air,3556,0.33,Peak,0.07,14
32,S28,849,Ship,1926,0.53,Peak,0.38,19
33,S36,1673,Ship,1818,0.52,Monsoon,0.01,22
34,S4,394,Truck,3466,0.86,Normal,0.53,20
35,S45,1124,Truck,2008,0.4,Normal,0.36,31
36,S35,1177,Truck,2065,0.49,Peak,0.52,36
37,S2,1107,Air,1323,0.7,Peak,0.51,68
38,S8,256,Train,3516,0.71,Normal,0.25,10
39,S8,81,Truck,2929,0.73,Monsoon,0.29,11
40,S27,1493,Ship,1766,0.71,Monsoon,0.26,26
41,S3,1400,Ship,547,0.5,Normal,0.34,22
42,S40,1033,Ship,1228,0.15,Normal,0.58,16
